epoch,tr_loss,va_loss,tr_pr_auc,va_pr_auc
1,0.659892241638827,0.8651780564276899,0.5459326980910041,0.146148663583626
2,0.5940655895983837,0.990621985959225,0.6935707832112623,0.32584922646980896
3,0.5819892806700434,0.9924497120693082,0.7218686639572938,0.30004306402110686
4,0.5771232666260746,1.2886140971887308,0.7132817345925294,0.3010201023299275
5,0.5552496823919825,1.089957691606928,0.753320335782899,0.2289174660086049
6,0.5571946257568268,0.9932290555023756,0.7693216926263655,0.4746236877450875
7,0.5681192256121271,1.1756081287978126,0.7586531002628456,0.506937876937877
8,0.5536072571354219,1.2863299060063285,0.7530375337549824,0.3947171771981116
9,0.5437677749189507,0.9934356535067324,0.7680055524724985,0.49398629334774846
10,0.5517094904878532,0.8265817297286675,0.7706495830445081,0.5551595561147448
11,0.5274818913046136,0.9326751598569213,0.7868432039019164,0.543530864788523
12,0.5259116475122521,1.1851659109357928,0.7860118864100611,0.4651195247563133
13,0.5636495384107153,1.172043311302779,0.7586402312036804,0.40296078792623863
14,0.486762532029286,0.9315743661317669,0.8494281477161182,0.4564121433341158
15,0.5420076732175896,0.9769745752459666,0.7609805190852137,0.4431580094623572
16,0.4839110799343232,1.0289468144784208,0.8422371760010792,0.4584181482257332
17,0.4798867003505967,1.168660032944601,0.854105994602953,0.4614705667039561
18,0.4882936738581064,0.7968240350973411,0.8518985054159598,0.6261779724499024
19,0.48287349951315117,0.7209439433988978,0.8492937908430309,0.5870384741907402
20,0.515038541521892,0.8365311075429447,0.8127848903554153,0.48957334659593826
21,0.5301119835979967,0.9409276012514458,0.7927266213286716,0.4464211203580453
22,0.4522326547338302,0.9852992882494067,0.8679158595705189,0.4991094352683788
23,0.4975145493884642,0.7185669902895317,0.8118485255317974,0.5996820737301445
24,0.4944776441438131,0.8264734701054995,0.8343296947330661,0.5327103906454342
25,0.49572367170249604,0.5519203866114382,0.8560263908230908,0.49564611705918027
26,0.47444344859525384,0.6916107261767153,0.837500830684804,0.5625132301040926
27,0.4631919695670346,0.5773106227155591,0.8447647752438534,0.617463544774921
28,0.46878387398987886,0.709560759243418,0.8471436269093696,0.5761730495291041
29,0.5186478288537527,0.7514836460840507,0.8160106296058831,0.5324986159641514
30,0.4803068728810812,0.5877114720031863,0.8295782956397615,0.6402174368446747
