set,metric,value,ci_low,ci_high
TRN_fixed,accuracy,0.7871485943775101,0.734839357429719,0.835441767068273
TRN_fixed,balanced_accuracy,0.7876274686975604,0.7328025632706036,0.8383363962094089
TRN_fixed,mcc,0.5755150068088499,0.4687439995908244,0.6769426955606743
TRN_fixed,specificity,0.7637795275590551,0.6875,0.8367512858802058
TRN_fixed,roc_auc,0.8646572866916226,0.8169188750383573,0.9079500097661641
TRN_fixed,pr_auc,0.8838167795056954,0.8369869749089612,0.9240911190563278
TRN_fixed,precision_hr_plus,0.8083333333333333,0.7390947968638631,0.8750276548672566
TRN_fixed,recall_hr_plus,0.7637795275590551,0.6875,0.8367512858802058
TRN_fixed,f1_hr_plus,0.7854251012145749,0.7248908296943232,0.8377539912917271
TRN_fixed,precision_hr_minus,0.7674418604651163,0.6923076923076923,0.8372140291170354
TRN_fixed,recall_hr_minus,0.8114754098360656,0.7476160304134326,0.8780733674272226
TRN_fixed,f1_hr_minus,0.7888446215139442,0.7325073900191271,0.844054913390521
VAL_fixed,accuracy,0.6557377049180327,0.5245901639344263,0.7704918032786885
VAL_fixed,balanced_accuracy,0.6602564102564102,0.4681439393939394,0.8358924173117523
VAL_fixed,mcc,0.23268149720310627,-0.0413517688551358,0.48239444701999135
VAL_fixed,specificity,0.6538461538461539,0.5192307692307693,0.7843137254901961
VAL_fixed,roc_auc,0.7820512820512819,0.5666666666666667,0.9709194369571729
VAL_fixed,pr_auc,0.6402174368446747,0.30437368853710106,0.9055901129242168
VAL_fixed,precision_hr_plus,0.918918918918919,0.8095238095238095,1.0
VAL_fixed,recall_hr_plus,0.6538461538461539,0.5192307692307693,0.7843137254901961
VAL_fixed,f1_hr_plus,0.7640449438202247,0.65,0.8544382801664354
VAL_fixed,precision_hr_minus,0.25,0.09523809523809523,0.44458333333333316
VAL_fixed,recall_hr_minus,0.6666666666666666,0.3333333333333333,1.0
VAL_fixed,f1_hr_minus,0.36363636363636365,0.15384615384615385,0.5641025641025641
EXT_fixed,accuracy,0.6216216216216216,0.5,0.7297297297297297
EXT_fixed,balanced_accuracy,0.7390625,0.6025641025641025,0.8359407018442623
EXT_fixed,mcc,0.3270305997271429,0.1318083223761297,0.49077120762501936
EXT_fixed,specificity,0.578125,0.453125,0.6970057720057721
EXT_fixed,roc_auc,0.8078125,0.6481548174307037,0.9350568181818182
EXT_fixed,pr_auc,0.5816861272847677,0.27542028751977726,0.8267407276946778
EXT_fixed,precision_hr_plus,0.9736842105263158,0.9090909090909091,1.0
EXT_fixed,recall_hr_plus,0.578125,0.453125,0.6970057720057721
EXT_fixed,f1_hr_plus,0.7254901960784313,0.6170212765957447,0.8148148148148148
EXT_fixed,precision_hr_minus,0.25,0.1175630252100841,0.4
EXT_fixed,recall_hr_minus,0.9,0.6666666666666666,1.0
EXT_fixed,f1_hr_minus,0.391304347826087,0.20510204081632655,0.5556372549019607
TRN_f1,accuracy,0.7068273092369478,0.6465863453815262,0.7670682730923695
TRN_f1,balanced_accuracy,0.7125984251968505,0.6709375000000001,0.7566432572866769
TRN_f1,mcc,0.5157718425618528,0.44366447280214477,0.592243355297272
TRN_f1,specificity,1.0,1.0,1.0
TRN_f1,roc_auc,0.9033174131922034,0.8633601073252968,0.9392596598433232
TRN_f1,pr_auc,0.9278605145357582,0.8961275417034567,0.9543918991396284
TRN_f1,precision_hr_plus,0.6256410256410256,0.5510204081632653,0.6927173576732674
TRN_f1,recall_hr_plus,1.0,1.0,1.0
TRN_f1,f1_hr_plus,0.7697160883280757,0.7105263157894737,0.8184678362573099
TRN_f1,precision_hr_minus,1.0,1.0,1.0
TRN_f1,recall_hr_minus,0.4251968503937008,0.341875,0.513286514573354
TRN_f1,f1_hr_minus,0.5966850828729282,0.5095482058788622,0.6783732057416267
VAL_f1,accuracy,0.9180327868852459,0.8360655737704918,0.9836065573770492
VAL_f1,balanced_accuracy,0.7681623931623931,0.6048811431623932,0.9403048128342245
VAL_f1,mcc,0.6386954539777804,0.3199480248231891,0.8950397643281257
VAL_f1,specificity,0.9807692307692307,0.9361355226641999,1.0
VAL_f1,roc_auc,0.7820512820512819,0.5666666666666667,0.9709194369571729
VAL_f1,pr_auc,0.6402174368446747,0.30437368853710106,0.9055901129242168
VAL_f1,precision_hr_plus,0.9272727272727272,0.8461538461538461,0.9830579096045198
VAL_f1,recall_hr_plus,0.9807692307692307,0.9361355226641999,1.0
VAL_f1,f1_hr_plus,0.9532710280373832,0.9038461538461539,0.990990990990991
VAL_f1,precision_hr_minus,0.8333333333333334,0.5,1.0
VAL_f1,recall_hr_minus,0.5555555555555556,0.2222222222222222,0.9
VAL_f1,f1_hr_minus,0.6666666666666666,0.3333333333333333,0.9090909090909091
EXT_f1,accuracy,0.918918918918919,0.8648648648648649,0.972972972972973
EXT_f1,balanced_accuracy,0.7,0.55,0.8530462184873949
EXT_f1,mcc,0.6047431568147635,0.2960932840790421,0.818091855696659
EXT_f1,specificity,1.0,1.0,1.0
EXT_f1,roc_auc,0.8078125,0.6481548174307037,0.9350568181818182
EXT_f1,pr_auc,0.5816861272847677,0.27542028751977726,0.8267407276946778
EXT_f1,precision_hr_plus,0.9142857142857143,0.8529411764705882,0.971830985915493
EXT_f1,recall_hr_plus,1.0,1.0,1.0
EXT_f1,f1_hr_plus,0.9552238805970149,0.9206349206349206,0.9857142857142858
EXT_f1,precision_hr_minus,1.0,1.0,1.0
EXT_f1,recall_hr_minus,0.4,0.1,0.7060924369747897
EXT_f1,f1_hr_minus,0.5714285714285714,0.18181818181818182,0.8277298850574711
